layer,key,status,ref_count,note,sources
Reference,ui.talent.close_hint_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.equipment.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.equipment.missing_system,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.equipment.empty_slot,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.equipment.slot_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.equipment.select,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.equipment.unequip,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.inventory.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.inventory.empty,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.inventory.equip,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.tree.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.tree.missing_data,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.tree.available_points_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.branch.offense,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.branch.control,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.branch.survival,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.status.unlocked,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.status.locked,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.talent.unlock,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs
Reference,ui.wave.announcer.default_wave_title_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs
Reference,ui.wave.announcer.wave_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs
Reference,ui.wave.announcer.boss_default,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs
Reference,ui.wave.announcer.boss_tag,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs
Summary,,Ok,130,table_keys=130; referenced_keys=130; warnings=0,
